"Time","Cattle","Milk, whole fresh cow(t)","Butter and Ghee + (Total) (t)","Butter, cow milk(t)","Cheese (All Kinds) + (Total)(t)","Cheese, whole cow milk(t)","Cream fresh(t)","Evaporat&Condensed Milk + (Total)(t)","Ghee, butteroil of cow milk(t)","Milk, skimmed cow(t)","Milk, skimmed dried(t)","Milk, whole condensed(t)","Milk, whole dried(t)","Milk, whole evaporated(t)","Skim Milk&Buttermilk,Dry + (Total)(t)"
"1961","7200000.0","669000.0","6142.0","5182.0","582.0","582.0","45.0","750.0","960.0","153425.0","1000.0","750.0","1200.0","","1000.0"
"1962","7366000.0","699000.0","6788.0","5588.0","704.0","704.0","45.0","1250.0","1200.0","168625.0","1000.0","1250.0","1200.0","","1000.0"
"1963","6800000.0","663000.0","6599.0","5479.0","610.0","610.0","45.0","1250.0","1120.0","163875.0","1000.0","1250.0","1200.0","","1000.0"
"1964","7398000.0","700000.0","6084.0","4844.0","602.0","602.0","45.0","1000.0","1240.0","150575.0","1000.0","1000.0","1200.0","","1000.0"
"1965","7500000.0","730000.0","4834.0","3914.0","835.0","835.0","45.0","750.0","920.0","120175.0","1000.0","750.0","1200.0","","1000.0"
"1966","7740000.0","774000.0","6559.0","4719.0","955.0","955.0","45.0","1250.0","1840.0","161975.0","1000.0","1250.0","1700.0","","1000.0"
"1967","7730000.0","725890.0","4822.0","4182.0","758.0","758.0","45.0","2000.0","640.0","120175.0","1000.0","2000.0","1800.0","","1000.0"
"1968","7750000.0","776000.0","6331.0","5331.0","610.0","610.0","45.0","2500.0","1000.0","165775.0","1000.0","2500.0","1900.0","","1000.0"
"1969","7800000.0","803000.0","6500.0","5500.0","500.0","500.0","45.0","3000.0","1000.0","161690.0","1000.0","3000.0","2000.0","","1000.0"
"1970","8600000.0","820037.0","5493.0","4573.0","484.0","484.0","45.0","2678.0","920.0","136610.0","2440.0","2678.0","2286.0","","2440.0"
"1971","8900000.0","900000.0","4092.0","3472.0","495.0","495.0","45.0","2679.0","620.0","102030.0","3228.0","2679.0","2320.0","","3228.0"
"1972","9200000.0","950000.0","5696.0","4836.0","730.0","730.0","45.0","4826.0","860.0","141835.0","4080.0","4826.0","2927.0","","4080.0"
"1973","9381000.0","900000.0","5543.0","4713.0","988.0","988.0","45.0","5129.0","830.0","137940.0","3814.0","5129.0","3697.0","","3814.0"
"1974","9616000.0","865600.0","4366.0","3706.0","558.0","558.0","45.0","3249.0","660.0","108775.0","3019.0","3249.0","2592.0","","3019.0"
"1975","9712000.0","927000.0","4191.0","3695.0","462.0","462.0","45.0","1626.0","496.0","85367.0","2772.0","1626.0","2289.0","","2772.0"
"1976","9500000.0","898000.0","3067.0","2448.0","177.0","177.0","45.0","2099.0","619.0","88936.0","1489.0","2099.0","3009.0","","1489.0"
"1977","9400000.0","934000.0","4342.0","3542.0","445.0","445.0","45.0","1321.0","800.0","92530.0","3440.0","1321.0","2630.0","","3440.0"
"1978","1.02E7","945800.0","3871.0","3021.0","253.0","253.0","45.0","489.0","850.0","94763.0","2956.0","489.0","2870.0","","2956.0"
"1979","1.14534E7","1053000.0","3134.0","2513.0","264.0","264.0","45.0","188.0","621.0","75050.0","1218.0","188.0","1439.0","","1218.0"
"1980","1.0E7","920000.0","2174.0","1850.0","150.0","150.0","45.0","44.0","324.0","54435.0","80.0","44.0","128.0","","80.0"
"1981","9800000.0","902000.0","2729.0","2329.0","210.0","210.0","45.0","10.0","400.0","68210.0","469.0","10.0","1334.0","","469.0"
"1982","1.1E7","1113000.0","3160.0","2660.0","157.0","157.0","45.0","10.0","500.0","78850.0","1715.0","10.0","2350.0","","1715.0"
"1983","1.25E7","1265000.0","3721.0","3171.0","225.0","225.0","45.0","40.0","550.0","92815.0","1921.0","40.0","1693.0","","1921.0"
"1984","1.3082E7","1324000.0","2301.0","2001.0","203.0","203.0","45.0","40.0","300.0","57665.0","206.0","40.0","205.0","","206.0"
"1985","1.25E7","1388000.0","3424.0","2924.0","252.0","252.0","45.0","30.0","500.0","85405.0","766.0","30.0","970.0","","766.0"
"1986","1.26E7","1740200.0","4216.0","3377.0","208.0","208.0","45.0","90.0","839.0","104880.0","2733.0","90.0","3057.0","","2733.0"
"1987","1.2645E7","2054500.0","4754.0","3557.0","207.0","207.0","45.0","90.0","1197.0","117800.0","2040.0","90.0","2346.0","","2040.0"
"1988","1.305E7","2250000.0","4187.0","3133.0","247.0","247.0","45.0","90.0","1054.0","103835.0","2387.0","90.0","1717.0","","2387.0"
"1989","1.3457E7","2320000.0","4195.0","3139.0","215.0","215.0","45.0","266.0","1056.0","104025.0","3200.0","200.0","1030.0","66.0","3200.0"
"1990","1.3793E7","2347019.0","4550.0","3410.0","172.0","172.0","54.0","126.0","1140.0","112860.0","2992.0","60.0","1396.0","66.0","2992.0"
"1991","1.30748E7","2062000.0","3479.0","2609.0","250.0","250.0","63.0","126.0","870.0","86640.0","3035.0","60.0","975.0","66.0","3035.0"
"1992","1.3E7","1987000.0","3143.0","2360.0","172.0","172.0","63.0","73.0","783.0","78280.0","3015.0","40.0","656.0","33.0","3015.0"
"1993","1.3E7","1983000.0","2394.0","1794.0","220.0","220.0","99.0","205.0","600.0","60135.0","1961.0","40.0","784.0","165.0","1961.0"
"1994","1.3E7","1989000.0","2409.0","1809.0","126.0","126.0","81.0","205.0","600.0","60325.0","2120.0","40.0","2237.0","165.0","2120.0"
"1995","1.2779E7","1985000.0","3131.0","2351.0","365.0","365.0","63.0","205.0","780.0","77995.0","3101.0","40.0","2480.0","165.0","3101.0"
"1996","1.15117E7","1908000.0","2327.0","1747.0","426.0","426.0","63.0","205.0","580.0","58140.0","2349.0","40.0","973.0","165.0","2349.0"
"1997","1.14085E7","2057000.0","2210.0","1710.0","464.0","464.0","63.0","199.0","500.0","55290.0","2400.0","50.0","970.0","149.0","2400.0"
"1998","1.1687E7","2008000.0","2300.0","1750.0","342.0","342.0","45.0","215.0","550.0","57190.0","2500.0","50.0","1000.0","165.0","2500.0"
"1999","1.27877E7","2342000.0","2300.0","1750.0","257.0","257.0","45.0","215.0","550.0","57190.0","2500.0","50.0","1000.0","165.0","2500.0"
"2000","1.14448E7","2224000.0","2300.0","1750.0","315.0","315.0","45.0","215.0","550.0","57190.0","2500.0","50.0","1000.0","165.0","2500.0"
"2001","1.1475861E7","2512586.0","2300.0","1750.0","329.0","329.0","45.0","215.0","550.0","57190.0","2500.0","50.0","1000.0","165.0","2500.0"
"2002","1.1939977E7","2890685.0","2300.0","1750.0","289.0","289.0","45.0","215.0","550.0","57190.0","2500.0","50.0","1000.0","165.0","2500.0"
"2003","1.2531324E7","2898446.0","2300.0","1750.0","320.0","320.0","315.0","215.0","550.0","60040.0","2500.0","50.0","1000.0","165.0","2500.0"
"2004","1.3022412E7","3392400.0","2300.0","1750.0","320.0","320.0","1800.0","215.0","550.0","75715.0","2500.0","50.0","1000.0","165.0","2500.0"
"2005","1.3019049E7","3752200.0","2300.0","1750.0","320.0","320.0","2700.0","715.0","550.0","85215.0","2500.0","550.0","1500.0","165.0","2500.0"
"2006","1.2416271E7","3700080.0","9898.0","9348.0","320.0","320.0","10890.0","2215.0","550.0","361665.0","2500.0","2050.0","2000.0","165.0","2500.0"
"2007","1.7537332E7","3202387.0","17498.0","16948.0","320.0","320.0","21600.0","790.0","550.0","664715.0","2500.0","625.0","2200.0","165.0","2500.0"
"2008","1.8383184E7","3208946.0","13850.0","13300.0","320.0","320.0","21600.0","790.0","550.0","573515.0","2500.0","625.0","2200.0","165.0","2500.0"
"2009","1.7467774E7","3567247.0","13850.0","13300.0","320.0","320.0","21600.0","790.0","550.0","573515.0","2500.0","625.0","2200.0","165.0","2500.0"
"2010","1.7862852E7","3638592.0","14700.0","14150.0","320.0","320.0","21600.0","790.0","550.0","594653.0","2500.0","625.0","2200.0","165.0","2500.0"
"2011","1.81735E7","3711364.0","15180.0","14630.0","320.0","320.0","21600.0","915.0","550.0","606765.0","2500.0","750.0","2200.0","165.0","2500.0"
"2012","1.91298E7","3732960.0","16050.0","15500.0","320.0","320.0","22500.0","915.0","550.0","638115.0","2500.0","750.0","2200.0","165.0","2500.0"
"2013","1.81385E7","3686431.0","15550.0","15000.0","320.0","320.0","21600.0","915.0","550.0","616075.0","2500.0","750.0","2200.0","165.0","2500.0"
"2014","1.8247632E7","3424954.0","15550.0","15000.0","320.0","320.0","21600.0","915.0","550.0","616075.0","2500.0","750.0","2200.0","165.0","2500.0"
"2015","1.8728076E7","3444214.0","","","","","","","","","","","","",""
"2016","2.052919E7","4115473.0","","","","","","","","","","","","",""
"2017","1.8338809E7","3560702.0","","","","","","","","","","","","",""
