"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"2001.0","1.3597743E7","1.2387086E7","1.2217529E7","1.2385888E7","1.4017781E7","9162634.0","1.1777459E7","1.2336533E7","1.2160772E7","1.3601351E7","1.3834863E7","1.4918771E7","1.5239841E8"
"2018.0","5.1546252E7","4.7301318E7","4.984695E7","5.2014427E7","4.9628518E7","5.0331845E7","5.31815235E7","5.2560505E7","56,370,128 ","55,251,897 ","57,017,071 ","5.924083E7","6.34294096E8"
"2017.0","4.5130656E7","4.6243101E7","3.8638648E7","4.7088539E7","4.7238249E7","4.8873482E7","4.2552581E7","5.494924E7","5.5806147E7","5.8136014E7","5.5211948E7","5.1513765E7","5.91382369E8"
"2016.0","5.6804236E7","5.2825195E7","4.8413917E7","5.4352177E7","4.9492229E7","6.6365814E7","5.8474605E7","5.6145499E7","4.3667336E7","5.6933086E7","5.4086177E7","5.0658407E7","6.48218678E8"
"2015.0","5.7173193E7","3.7795658E7","3.5768306E7","3.558726E7","5.2973117E7","5.102049E7","5.1592645E7","5.09427E7","5.1655597E7","5.5417333E7","6.8280126E7","5.8872068E7","6.07078492E8"
"2014.0","5.404461E7","4.6595234E7","4.9259098E7","4.5014625E7","4.3556561E7","4.4473596E7","4.0523712E7","4.1758506E7","4.1662825E7","4.3516106E7","4.432071E7","4.5317887E7","5.40043469E8"
"2013.0","4.9315411E7","4.2479588E7","4.0275662E7","4.4434837E7","5.0622288E7","4.445515E7","4.352323E7","3.7897475E7","3.8789745E7","3.8867401E7","4.5333733E7","4.7033407E7","5.23027925E8"
"2012.0","4.5478539E7","3.2892232E7","2.8895771E7","2.5982297E7","3.7342204E7","4.6170311E7","4.3463315E7","4.5527611E7","4.5188584E7","4.7752512E7","4.8592182E7","4.7900247E7","4.95187816E8"
"2011.0","4.7129442E7","4.0808142E7","3.8769348E7","4.1817812E7","4.5612237E7","4.5679938E7","4.9470272E7","4.6351656E7","4.9091583E7","5.0250395E7","4.6353953E7","4.7661866E7","5.48996643E8"
"2010.0","4.9274959E7","4.3899593E7","4.8614084E7","4.464089E7","4.2993119E7","3.7577041E7","3.9912305E7","3.8630599E7","3.7219263E7","4.168089E7","4.3371514E7","4.793142E7","5.15745676E8"
"2009.0","3.5816607E7","2.9467592E7","2.6430239E7","2.434821E7","2.9158098E7","3.335595E7","3.3879786E7","3.5013248E7","3.4238833E7","3.8012179E7","4.187881E7","4.4931121E7","4.06530673E8"
"2008.0","2.8596999E7","2.6527462E7","2.6885445E7","2.8616588E7","3.5017737E7","3.4723007E7","3.2838238E7","3.3643233E7","3.5535725E7","3.5530367E7","3.9359859E7","4.1236728E7","3.98511387E8"
"2007.0","3.5997997E7","3.7508095E7","3.4608329E7","3.3286207E7","3.003856E7","3.3092547E7","3.3147783E7","3.6022269E7","3.5186438E7","3.7988733E7","3.9840842E7","3.6393069E7","4.23110868E8"
"2006.0","2.899321E7","2.5445275E7","2.1142657E7","2.3285252E7","2.9773451E7","3.4032057E7","3.3304057E7","3.2658519E7","3.2159974E7","3.223611E7","3.3925921E7","3.3192254E7","3.60148736E8"
"2005.0","2.5843184E7","2.5233962E7","2.424526E7","2.2271673E7","2.5260095E7","2.7742995E7","3.2972254E7","3.1841004E7","3.0935673E7","3.0945573E7","3.222931E7","3.0013714E7","3.39534696E8"
"2004.0","2.2213341E7","2.2385752E7","2.1503659E7","2.2910425E7","2.3208733E7","2.8291099E7","2.590905E7","2.3368501E7","2.2248779E7","1.8675872E7","2.0143902E7","2.3201119E7","2.74060232E8"
"2003.0","1.9010557E7","1.5292318E7","1.2971936E7","1.3483632E7","1.7030854E7","1.872231E7","1.8697517E7","1.614586E7","1.609578E7","1.5776939E7","1.5521266E7","1.852849E7","1.97277459E8"
"2002.0","1.1186656E7","8318010.0","9561813.0","9323666.0","9718186.0","1.3239448E7","1.3388853E7","1.1622034E7","1.4789517E7","1.3599763E7","1.4178395E7","1.4628178E7","1.43554519E8"
