"Year","Cow milk","Camel milk","Goat milk","Sheep milk","Total production","","Source: FAO 2018"
"2016.0","4.115473E9","8.48939E8","2.21591E8","8.9342E7","5.275345E9","",""
"2015.0","3.444214E9","8.11634E8","2.12131E8","8.2579E7","4.550558E9","",""
"2014.0","3.424954E9","7.47934E8","2.24655E8","8.4054E7","4.481597E9","",""
"2013.0","3.686431E9","8.70864E8","2.68543E8","6.2408E7","4.888246E9","",""
"2012.0","3.73296E9","9.10846E8","2.67904E8","6.1564E7","4.973274E9","",""
"2011.0","3.711364E9","8.90276E8","2.62909E8","6.0156E7","4.924705E9","",""
"2010.0","3.638592E9","8.92039E8","2.60326E8","5.8737E7","4.849694E9","",""
"2009.0","3.567247E9","8.77098E8","2.57729E8","5.6893E7","4.758967E9","",""
"2008.0","3.208946E9","8.54293E8","1.35945E8","5.6898E7","4.256082E9","",""
"2007.0","3.202387E9","6.19408E8","1.30199E8","5.4832E7","4.006826E9","",""
"2006.0","3.70008E9","3.28E8","1.2665E8","5.6707E7","4.211437E9","",""
"2005.0","3.7522E9","2.8905E8","1.32354E8","5.9192E7","4.232796E9","",""
"2004.0","3.3924E9","3.68078E8","1.21581E8","6.0166E7","3.942225E9","",""
"2003.0","2.898446E9","2.76135E8","1.10018E8","5.8667E7","3.343266E9","",""
"2002.0","2.890685E9","2.24885E8","1.03729E8","5.8375E7","3.277674E9","",""
"2001.0","2.512586E9","2.63425E8","9.9625E7","4.9523E7","2.925159E9","",""
"2000.0","2.224E9","3.35175E8","1.19016E8","5.8355E7","2.736546E9","",""
"1999.0","2.342E9","2.48712E8","1.21E8","6.1428E7","2.77314E9","",""
"1998.0","2.008E9","2.45198E8","1.251E8","6.4449E7","2.442747E9","",""
"1997.0","2.057E9","2.45157E8","1.198E8","6.3836E7","2.485793E9","",""
"1996.0","1.908E9","2.44421E8","1.21E8","4.9643E7","2.323064E9","",""
"1995.0","1.985E9","2.69305E8","1.108E8","6.4006E7","2.429111E9","",""
"1994.0","1.989E9","2.3461E8","1.31031E8","6.5223E7","2.419864E9","",""
"1993.0","1.983E9","2.23427E8","1.30521E8","6.7375E7","2.404323E9","",""
"1992.0","1.987E9","2.31052E8","1.28541E8","6.9131E7","2.415724E9","",""
"1991.0","2.062E9","2.41438E8","1.25074E8","7.1346E7","2.499858E9","",""
"1990.0","2.347019E9","2.485E8","1.02E8","3.98E7","2.737319E9","",""
"1989.0","2.32E9","2.38E8","9.8E7","4.18E7","2.6978E9","",""
"1988.0","2.25E9","2.345E8","9.65E7","3.36E7","2.6146E9","",""
"1987.0","2.0545E9","2.31E8","7.5E7","2.4E7","2.3845E9","",""
"1986.0","1.7402E9","2.38E8","8.05E7","2.61E7","2.0848E9","",""
"1985.0","1.388E9","2.31E8","7.5E7","2.94E7","1.7234E9","",""
"1984.0","1.324E9","2.275E8","6.8545E7","2.696E7","1.647005E9","",""
"1983.0","1.265E9","1.96E8","7.3864E7","2.767E7","1.562534E9","",""
"1982.0","1.113E9","1.82E8","7.2E7","2.646E7","1.39346E9","",""
"1981.0","9.02E8","1.82E8","6.65E7","2.52E7","1.1757E9","",""
"1980.0","9.2E8","1.785E8","7.6E7","2.1E7","1.1955E9","",""
"1979.0","1.053E9","1.785E8","7.868E7","1.8056E7","1.328236E9","",""
"1978.0","9.458E8","1.785E8","7.505E7","1.7512E7","1.216862E9","",""
"1977.0","9.34E8","1.75E8","5.7E7","1.54E7","1.1814E9","",""
"1976.0","8.98E8","1.701E8","4.34E7","1.3464E7","1.124964E9","",""
"1975.0","9.27E8","1.645E8","4.261E7","1.2958E7","1.147068E9","",""
"1974.0","8.656E8","1.61E8","3.9E7","1.408E7","1.07968E9","",""
"1973.0","9.0E8","1.54E8","4.0E7","1.54E7","1.1094E9","",""
"1972.0","9.5E8","1.505E8","4.05E7","1.5E7","1.156E9","",""
"1971.0","9.0E8","1.47E8","4.15E7","1.54E7","1.1039E9","",""
"1970.0","8.20037E8","1.4E8","4.228E7","1.56E7","1.017917E9","",""
"1969.0","8.03E8","1.5E7","4.334E7","1.6224E7","8.77564E8","",""
"1968.0","7.76E8","1.32E7","5.0E7","1.68E7","8.56E8","",""
"1967.0","7.2589E8","1.17E7","5.33E7","1.658E7","8.0747E8","",""
"1966.0","7.74E8","1.08E7","5.3E7","1.64E7","8.542E8","",""
"1965.0","7.3E8","1.08E7","5.3E7","1.62E7","8.1E8","",""
"1964.0","7.0E8","1.08E7","5.329E7","1.6156E7","7.80246E8","",""
"1963.0","6.63E8","1.14E7","5.1E7","1.56E7","7.41E8","",""
"1962.0","6.99E8","1.08E7","4.923E7","1.5368E7","7.74398E8","",""
"1961.0","6.69E8","9600000.0","4.7E7","1.72E7","7.428E8","",""
