"Time","Inflation, consumer prices  index (2000 = 100)","Economically active population in agriculture (as % of Total active population)","First main agricultural product (Tons, thousands)","Permanent pastures (% of land area)","Agricultural production index","Real GDP growth (annual %)","Average Exchange Rate (National Currency per US $)","Economically active population in agriculture","Agricultural population","Economically active population in agriculture (as % of Economically active population)","Corruption Perception Index, Overall Country Score"
"1960","0.0","","","","","","","","","",""
"1961","0.0","","","","","","","","","",""
"1962","0.0","","","","","","","","","",""
"1963","0.0","","","","","","","","","",""
"1964","0.0","","","","","","","","","",""
"1965","0.0","","","","","","","","","",""
"1966","0.0","","","","","","","","","",""
"1967","0.0","","","","","","","","","",""
"1968","0.0","","","","","","","","","",""
"1969","0.0","","","","","","","","","",""
"1970","0.0","","","","","","","","","",""
"1971","0.0","","","","","","","","","",""
"1972","0.0","","","","","","","","","",""
"1973","0.0","","","","","","","","","",""
"1974","0.0","","","","","","","","","",""
"1975","0.0","","","","","","","","","",""
"1976","0.0","","","","","","","","","",""
"1977","0.0","","","","","","","","","",""
"1978","0.0","","","","","","","","","",""
"1979","0.0","","","","","","","","","",""
"1980","7.86631","","","37.4248866711178","43.96","","","5523000.0","1.3364E7","96.3091729188147",""
"1981","8.48738","","","37.4248866711178","44.18","4.1","","5717000.0","1.3839E7","95.9818963794514",""
"1982","9.66009","","","37.4248866711178","49.3299999999999","5.0523556","","5918000.0","1.433E7","95.5651430308789",""
"1983","10.7812","","","37.4248866711178","51.17","1.59305494","","6127000.0","1.4836E7","95.1251950554394",""
"1984","13.00887","","","37.4248866711178","47.0399999999999","1.60012408","","6344000.0","1.5354E7","94.6776465716507",""
"1985","14.49179","","","37.4248866711178","52.82","4.07288543","","6570000.0","1.5882E7","94.2806873946717",""
"1986","15.98197","","","37.4248866711178","58.14","6.98210389","","6804000.0","1.6419E7","93.9438198292724",""
"1987","18.06083","","","37.4248866711178","58.2899999999999","5.81068597","","7046000.0","1.6962E7","93.5695179924157",""
"1988","18.92861","","","37.4248866711178","63.24","6.09084801","","7297000.0","1.7513E7","93.1522339290149",""
"1989","20.37052","","","37.4248866711178","66.8499999999999","4.55422621","","7561000.0","1.8071E7","92.6413965751603",""
"1990","23.73196","","","37.4248866711178","65.59","4.13368724","","7846000.0","1.8636E7","92.29421962",""
"1991","28.38343","","","37.4248866711178","67.2","1.33930012","","8141000.0","1.9183E7","97.6286900826538",""
"1992","36.13211","","","37.4248866711178","70.3499999999999","-1.08018675","","8452000.0","1.9732E7","98.216714020702",""
"1993","50.86749","","","37.4248866711178","67.9099999999999","-0.09475947","","8772000.0","2.0277E7","98.6406899566685",""
"1994","65.52426","","","37.4248866711178","69.34","2.53118213","","9089000.0","2.0811E7","98.936945653721",""
"1995","66.54304","","","37.4248866711178","70.48","4.28687164","","9395000.0","2.1327E7","99.1639514759951",""
"1996","72.53191","","","37.4248866711178","66.76","4.01103105","","9686000.0","2.1825E7","99.7192348178585",""
"1997","80.65549","","","37.4248866711178","68.6099999999999","0.2201195","","9966000.0","2.2306E7","100.400077996812",""
"1998","85.98418","","","37.4248866711178","72.8499999999999","3.33046241","","1.0236E7","2.2777E7","100.842982769747",""
"1999","90.90909091","","","37.4248866711178","78.54","2.40695303","","1.0505E7","2.3246E7","101.267147889713",""
"2000","100.0","95.3119357550237","2250000.0","37.4248866711178","73.4399999999999","0.5992516","78.0361","1.0757E7","2.3718E7","101407.4943",""
"2001","105.8","95.4608661498767","2754000.0","37.4248866711178","81.79","4.46470318","78.5631999999999","1.1014E7","2.4198E7","101611.052084518",""
"2002","107.90517339","95.4906697231133","2340000.0","37.4248866711178","85.1299999999999","0.54538372","78.7490999999999","1.1275E7","2.4681E7","101903.731089102",""
"2003","118.49118818","95.4205299871442","2520000.0","37.4248866711178","87.09","2.93226159","75.9355999999999","1.1537E7","2.5173E7","101926.431265051",""
"2004","124.17615276","95.2829365294812","2610000.0","37.4248866711178","89.92","5.08837885","79.1738760642136","1.1797E7","2.5673E7","101899.064647354",""
"2005","136.46959188","95.087551312605","2907000.0","37.4248866711178","103.22","5.9","75.5541094514311","1.2053E7","2.6182E7","101822.560567289",""
"2006","146.36496462","94.0291260377198","3114000.0","37.4248866711178","106.86","6.73738817","72.100835017862","1.2302E7","2.6702E7","100686.552555355",""
"2007","156.65086414","92.6148854791739","2925000.0","37.4248866711178","108.47","7.14809559","67.3176381242856","1.2513E7","2.7229E7","99158.0400446954",""
"2008","172.74873973","91.2842052925517","2349000.0","37.4248866711178","110.52","7.43681966","69.1753198162259","1.2737E7","2.7764E7","97824.4544935522",""
"2009","193.72721034","90.0516196906062","2250000.0","37.4248866711178","115.819999999999","6.02195212","77.3520122975789","1.2971E7","2.8306E7","96371.0897120883",""
"2010","207.65923511","88.9606866979036","3060000.0","37.4248866711178","122.98","7.04307234","79.2331517045455","1.322E7","2.8851E7","95068.3864439793",""
"2011","234.01320524","87.948425379204","","37.4248866711178","117.43","6.4487972","88.8107699710456","1.3487E7","2.9399E7","93952.5785568718",""
"2012","271.45824923","87.0714595848209","","37.4248866711178","121.11","6.93298785","84.5296017573529","1.377E7","2.9948E7","92897.3132244508","27.0"
"2013","292.82080611","","","37.4248866711178","122.56","5.7","","1.4068E7","3.0493E7","91889.5307301341","27.0"
"2014","313.25936523","","","","","5.28837349","","1.4378E7","3.1028E7","91155.9926305356","25.0"
"2015","330.46456481","","","","","6.54114928","","1.4697E7","3.1548E7","90197.7542091347",""
"2016","347.94998749","","","","","6.25272512","","1.5026E7","","79247.2931137234",""
"2017","345.910485203896","","","","","6.37731315790361","","","","",""
